,제목,평점,장르,줄거리
11,노바디 ,8,액션,"비범한 과거를 숨긴 채 남들과 다를 바 없는 평범한 일상을 사는 한 가정의 가장 ‘허치’매일 출근을 하고, 분리수거를 하고 일과 가정 모두 나름 최선을 다하지만아들한테는 무시당하고 아내와의 관계도 소원하다.그러던 어느 날, 집안에 강도가 들고 허치는 한 번의 반항도 하지 못하고 당한다.더 큰 위험으로부터 가족을 지키기 위한 선택이었는데 모두 무능력하다고 ‘허치’를 비난하고,결국 그동안 참고 억눌렀던 분노가 폭발하고 만다."
12,자산어보,9,드라마,"“이 양반은 대역 죄인이니 너무 잘해줄 생각들 말어”순조 1년, 신유박해로 세상의 끝 흑산도로 유배된 ‘정약전’.호기심 많은 '정약전'은 그 곳에서 바다 생물에 매료되어 책을 쓰기로 한다.이에 바다를 훤히 알고 있는 청년 어부 ‘창대’에게 도움을 구하지만‘창대’는 죄인을 도울 수 없다며 단칼에 거절한다.“내가 아는 지식과 너의 물고기 지식을 바꾸자""‘창대’가 혼자 글 공부를 하며 어려움을 겪고 있다는 것을 알게 된 ‘정약전’은 서로의 지식을 거래하자고 제안하고거래라는 말에 ‘창대’는 못 이기는 척 받아들인다.둘은 티격태격하면서도 점차 서로의 스승이자 벗이 되어 간다.""너 공부해서 출세하고 싶지?""그러던 중 '창대'가 출세하기 위해 공부에 매진했다는 사실을 알게 된 '정약전'은 크게 실망한다.‘창대’ 역시 '정약전'과는 길이 다르다는 것을 깨닫고'정약전'의 곁을 떠나 세상 밖으로 나가고자 결심하는데..."
13,고질라 VS. 콩,8,액션,"거대 몬스터들의 습격을 받은 지 3년 후, 콩은 스컬 아일랜드를 떠나 인간들의 보호관찰을 받고 있다. 한편, 인간들에게 등을 돌린 고질라는 비밀연구회사인 에이펙스에 존재하는 알 수 없는 힘에 이끌려 그곳을 쑥대밭으로 만든다. 위기 상황 속, 지구 안의 또 다른 지구인 할로우 어스의 에너지원을 찾아야만 인류가 안전할 수 있다는 판단하고 콩의 보호자들은 콩과 특별한 유대감을 형성하는 아이 지아와 함께 타이탄들의 고향일지 모르는 그 곳으로 위험한 여정을 떠난다. 그러던 중 분노에 찬 고질라의 공격을 받고, 마침내 맞붙게 된 두 전설의 장대한 대결은 앞으로 닥쳐올 대재앙의 서막에 불과했는데…세상의 운명을 놓고, 지구상 가장 거대한 신화적 존재들의 스펙터클한 대격돌이 시작된다!"
14,조커,8,드라마,고담시의 광대 아서 플렉은 코미디언을 꿈꾸는 남자.하지만 모두가 미쳐가는 코미디 같은 세상에서맨 정신으로는 그가 설 자리가 없음을 깨닫게 되는데…이제껏 본 적 없는 진짜 ‘조커’를 만나라!
17,라이더스 오브 저스티스,7,액션,"가족과 떨어진 채 지내던 현직 군인 마르쿠스(매즈 미켈슨)는 열차 사고로 갑작스럽게 아내를 잃고 실의에 빠져있던 중, 아내의 죽음에 얽힌 사고가 계획된 범죄였음을 알게 된다. 분노가 폭발한 마르쿠스는 범인들을 뒤쫓아 목숨을 건 추격전을 시작하고 자신만의 잔혹한 정의로 그들을 심판하기로 하는데…"
19,노매드랜드,8,드라마,"경제적 붕괴로 도시 전체가 무너진 후 홀로 남겨진 ‘펀’.(프란시스 맥도맨드)추억이 깃든 도시를 떠나 작은 밴과 함께 한 번도 가보지 않은 낯선 길 위의 세상으로 떠난다.그 곳에서 ‘펀’은 각자의 사연을 가진 노매드들을 만나게 되고,광활한 자연과 길 위에서의 삶을 스스로 선택한 그들과 만나고 헤어지며다시 살아가기 위한 여정을 시작하는데…"
21,라야와 마지막 드래곤,9,애니메이션,"인간과 드래곤이 평화롭게 공존하던 신비의 땅, 쿠만드라 왕국살아있는 모든 생명을 삼키는 악의 세력 '드룬'이 들이닥치자,드래곤들은 인간을 구하기 위해 스스로를 희생하고 전설 속으로 사라진다.500년 후 부활한 '드룬'이 또다시 세상을 공포에 빠뜨리자,전사 ‘라야’는 분열된 쿠만드라를 구하기 위해전설 속 마지막 드래곤을 찾아 모험을 떠난다.그러나, ‘라야’는 험난한 여정을 겪으며 세상을 구하기 위해서는전설 속 드래곤보다 더 중요한 것이 있다는 것을 깨닫게 되는데…"
24,그것: 두 번째 이야기,6,공포/스릴러,"27년마다 아이들이 사라지는 마을 데리, 또 다시 ‘그것’이 나타났다.27년 전, 가장 무서워하는 것의 모습으로 나타나 아이들을 잡아먹는 그것 페니와이즈에 맞섰던 ‘루저 클럽’ 친구들은 어른이 되어도 더 커져만 가는 그것의 공포를 끝내기 위해 피할 수 없는 마지막 대결에 나선다."
25,기생충,8,드라마,"전원백수로 살 길 막막하지만 사이는 좋은 기택(송강호) 가족.장남 기우(최우식)에게 명문대생 친구가 연결시켜 준 고액 과외 자리는모처럼 싹튼 고정수입의 희망이다.온 가족의 도움과 기대 속에 박사장(이선균) 집으로 향하는 기우.글로벌 IT기업 CEO인 박사장의 저택에 도착하자젊고 아름다운 사모님 연교(조여정)가 기우를 맞이한다.그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고 있었으니…"
26,알라딘,9,액션,"머나먼 사막 속 신비의 아그라바 왕국의 시대.좀도둑 ‘알라딘’은 마법사 ‘자파’의 의뢰로 마법 램프를 찾아 나섰다가주인에게 세 가지 소원을 들어주는 지니를 만나게 되고,자스민 공주의 마음을 얻으려다 생각도 못했던 모험에 휘말리게 되는데…"
27,어벤져스: 엔드게임,9,액션,인피니티 워 이후 절반만 살아남은 지구마지막 희망이 된 어벤져스먼저 떠난 그들을 위해 모든 것을 걸었다!위대한 어벤져스운명을 바꿀 최후의 전쟁이 펼쳐진다!
28,그린 북,9,드라마,"1962년 미국, 입담과 주먹만 믿고 살아가던 토니 발레롱가(비고 모텐슨)는 교양과 우아함 그 자체인천재 피아니스트 돈 셜리(마허샬라 알리) 박사의 운전기사 면접을 보게 된다.백악관에도 초청되는 등 미국 전역에서 콘서트 요청을 받으며 명성을 떨치고 있는 돈 셜리는위험하기로 소문난 미국 남부 투어 공연을 떠나기로 결심하고,투어 기간 동안 자신의 보디가드 겸 운전기사로 토니를 고용한다.거친 인생을 살아온 토니 발레롱가와 교양과 기품을 지키며 살아온 돈 셜리 박사.생각, 행동, 말투, 취향까지 달라도 너무 다른 두 사람은그들을 위한 여행안내서 ‘그린북’에 의존해 특별한 남부 투어를 시작하는데…"
29,크레이지 리치 아시안,6,코미디,"뉴요커 레이첼은 남자친구 닉의 절친 결혼식이 열리는 싱가포르로 향한다. 처음으로 아시아를 방문한다는 설렘도 잠시, 닉의 가족을 만난다는 사실이 걱정이다. 그런데 알고 보니 닉이 싱가포르에서 가장 부유한 집안의 아들이자 모두가 선망하는 결혼 후보 1순위 신랑감이었던 것. 레이첼은 사교계 명사들의 질투와 더불어 본인을 영 탐탁지 않아하는 닉의 어머니의 타겟이 되는데… 남친의 재력을 알게 된 순간, 시월드의 문이 활짝 열렸다!"
30,어벤져스: 인피니티 워,8,액션,"새로운 조합을 이룬 어벤져스,역대 최강 빌런 타노스에 맞서 세계의 운명이 걸린인피니티 스톤을 향한 무한 대결이 펼쳐진다!마블의 클라이맥스를 목격하라!"
31,블랙 팬서,7,액션,‘시빌 워’ 이후 와칸다의 왕위를 계승한 티찰라(채드윅 보스만)는와칸다에만 존재하는 최강 희귀 금속 ‘비브라늄’과 왕좌를 노리는 숙적들의 음모가 전세계적인 위협으로 번지자세상을 구할 히어로 ‘블랙 팬서’로서 피할 수 없는 전쟁에 나서는데…
32,위대한 쇼맨,9,드라마,"쇼 비즈니스의 창시자이자, 꿈의 무대로 전세계를 매료시킨 남자‘바넘’의 이야기에서 영감을 받아 탄생한 오리지널 뮤지컬 영화 . 이후 다시 뮤지컬 영화로 돌아온 휴 잭맨부터 잭 에프론, 미셸 윌리엄스, 레베카 퍼거슨, 젠다야까지할리우드 최고의 배우들이 합류해 환상적인 앙상블을 선보인다.여기에  제작진과  작사팀의 합류로더욱 풍성해진 비주얼과 스토리, 음악까지 선보일 은‘우리는 누구나 특별하다’는 메시지로 관객들에게 재미는 물론, 감동까지 선사할 것이다.THIS IS ME! 우리는 누구나 특별하다!"
33,미 비포 유,8,감독테아 샤록,"이별을 준비하는 마지막에 나타난 짜증나는 여자내 평생 최고의 6개월을 선물했다6년 동안이나 일하던 카페가 문을 닫는 바람에 백수가 된 루이자(에밀리아 클라크)는 새 직장을 찾던 중 촉망 받던 젊은 사업가였던 전신마비 환자 윌(샘 클라플린)의 6개월 임시 간병인이 된다. 루이자의 우스꽝스러운 옷, 썰렁한 농담들, 속마음을 그대로 드러내는 얼굴 표정이 신경 쓰이는 윌. 말만 하면 멍청이 보듯 두 살짜리처럼 취급하고 개망나니처럼 구는 윌이 치사하기만 한 루이자. 그렇게 둘은 서로의 인생을 향해 차츰 걸어 들어가는데..."
34,분노의 질주: 더 세븐,9,액션,"거대 범죄 조직을 소탕한 뒤 전과를 사면 받고, 평범한 일상을 되찾은 도미닉(빈 디젤)과 멤버들.하지만 평화도 잠시, 한(성 강)의 갑작스러운 죽음에 이어, 도미닉의 집이 순식간에 폭파당한다.그들을 차례대로 제거하려는 최악의 상대 데카드 쇼(제이슨 스타뎀)의 등장으로도미닉은 다시 한 번 역대 최강의 멤버들을 불러모아 숨막히는 반격을 결심하는데…"
35,노예 12년,8,드라마,"1840년대 미국에서는 노예 수입이 금지되자 흑인 납치 사건이 만연하게 된다. 미국 내 자유주(州)의 흑인을 납치해 노예주(州)로 팔아 넘기는 것.음악가 '솔로몬 노섭', 노예 '플랫'!두 인생을 산 한 남자의 거짓말 같은 실화!1841년 뉴욕. 아내 그리고 두 명의 아이와 함께자유로운 삶을 누리던 음악가 솔로몬 노섭(치웨텔 에지오포)은 어느 날 갑자기 납치되어 노예로 팔려간다.그가 도착한 곳은 노예주 중에서도 악명 높은 루이지애나.신분을 증명할 방법이 없는 그에게 노예 신분과 ‘플랫’이라는 새 이름이 주어지고,12년의 시간 동안 두 명의 주인 윌리엄 포드(베네딕트 컴버배치), 에드윈 엡스(마이클 패스벤더)를 만나게 되는데…단 한 순간도 희망을 놓지 않았던12년 간의 기록이 펼쳐진다!"
36,분노의 질주: 더 오리지널,8,액션,"범법자의 신분으로 경찰에게 쫓기는 도미닉(빈 디젤)은 사랑하는 여인 레티(미셸 로드리게즈)의 갑작스런 죽음을 접하고 복수를 위해 LA로 돌아온다. 한편 LA 최대 갱단의 두목을 쫓고 있던 브라이언(폴 워커)은 범죄의 중심에 자신의 친구이기도 했던 레티의 죽음이 연관되어 있음을 직감한다. 위장 잠입한 갱단 소굴에서 서로 만나게 된 도미닉과 브라이언. 서로 쫓고 쫓기는 경찰과 도망자의 관계이지만, 서로의 우정과 믿음에 이끌린 두 사람은, 여인과 친구의 복수를 위해 잠시 손을 잡기로 한다. 하지만, 적의 실체에 점점 다가갈수록 목숨을 건 위험한 액션은 점점 극으로 치닫는데…"
37,해리 포터와 불사조 기사단,7,액션,"길고도 지루한 여름 날 호그와트 마법학교 다섯 번째 해를 기다리고 있는 해리포터(다니엘 래드클리프). 이모부 더즐리 식구들과 참고 사는 것도 지겨운데다 친구 론(루퍼트 그린트)과 헤르미온느(엠마 왓슨)에게서는 편지 한 통 오지 않는다. 그러던 중 예상치 못했던 편지 한 장이 도착한다. 그것은 해리가 학교 밖인 리틀 위닝에서 얄미운 사촌 두들리, 즉 머글 앞에서 디멘터들의 공격을 막는 마법을 사용했기 때문에 호그와트 마법학교에서 퇴학 당하게 되었다는 소식이었다. 앞이 캄캄한 해리. 갑자기 어둠의 마법사 오러들이 나타나 해리를 불사조 기사단의 비밀 장소로 데리고 간다.시리우스(게리 올드만)를 위시한 불사조 기사단을 만난 해리는 과거, 부모님들의 활약상을 알게 되어 힘을 얻고, 자신을 퇴학시키기 위해 마법부 장관 코넬리우스 퍼지(로버트 하디)가 법정에 세우지만 덤블도어 교장(마이클 갬볼 경)의 중재 덕분에 무죄 판결까지 받는다. 하지만 예언자 일보는 볼드모트(랄프 파인즈)가 돌아왔다는 해리의 말이 새빨간 거짓말이라며 비난하고 학생들 역시 해리를 의심하며 따돌린다. 게다가 자신이 가장 힘들어 할 때 도움을 주던 덤블도어 교장까지도 이유 없이 해리를 멀리하고…. 한편, 덤블도어도 못마땅한데 해리의 퇴학마저 무산이 되자 마법부 장관은 ‘어둠의 마법방어술’ 과목에 돌로레스 엄브릿지(이멜다 스털톤)를 교수로 임명한다. 하지만 엄브릿지의 마법방어술 수업은 학생들이 어둠의 힘으로부터 스스로를 지켜내기는커녕 오히려 곤경에 빠지게 한다. 이에 헤르미온느와 론은 해리의 능력을 믿고 자칭 ‘덤블도어의 군대’라고 명명한 비밀단체를 조직한다. 해리는 어둠의 마법에 맞서 스스로를 지켜낼 수 있는 방법을 학생들에게 가르쳐주며 앞으로 닥칠 격전에 대비시킨다. 그러나 밤마다 불길한 사건을 예견하는 악몽에 시달리는 해리. 이제 볼드모트와의 대결이 머지 않았음을 느끼게 된다. 시리우스가 공격 당하는 악몽을 꾼 해리는 덤블도어 군대와 함께 마법부 미스터리 부서 예언의 방으로 향한다. 그리고 이어 나타난 죽음을 먹는 자들…. 빛의 마법과 어둠의 마법간의 불꽃 튀는 대결 해리포터와 불사조 기사단, 호그와트의 운명이 그들에게 달렸다!"
38,시간을 달리는 소녀,9,드라마,"저 마코토에게는 남들에게 말 못할 비밀이 하나 있어요. 타임리프라고 하는 능력이죠.어느 날 우연히 그 능력을 가지게 됐어요.카즈야 이모 말에 따르면 내 또래 여학생들에게 자주 일어날 수 있는 일이라더군요.아무튼 그 능력 덕택에 학교 성적도 좋아지고,지각도 안하고 잦은 실수도 훨씬 줄어들었어요.세상 만사가 다 내 손안에 있는 느낌이었죠.친한 친구인 고스케와 치아키도 저의 변화가 싫지 않은 것 같아요. 매일 셋이서 야구놀이하며 즐거운 나날을 보낼 수 있을 것 같았죠.그런데 느닷없이 치아키가 저에게 고백을 하는 거에요.""마코토, 나랑 사귀지 않을래?"" 전혀 남자로 보이지 않던 녀석인데 저는 깜짝 놀라고 말았어요. 어떻게든 그 고백을 없애기 위해 다시 과거로 돌아가 결국은 그 고백을 듣지 않게 되었어요. 하지만 과거로 돌아가면 돌아갈수록, 일이 점점 꼬여만 가요. 친구인 유리와 치아키가 연인 사이로 발전하는걸 지켜보려니 마음만 씁쓸하고, 고스케를 짝사랑하고 있던 후배 여학생의 고민상담까지 받은 저는 어떻게서든 두 사람을 이어주기 위해 과거에서 현재로 몇 번을 오갔는지 몰라요. 게다가 제가 당할 뻔한 사고를 대신 고스케가 당하는 불상사까지…타임리프로 사람의 마음을 내 멋대로 바꾼 벌을 받고 있나 봐요. 전 이제 어떡하면 좋을까요?"
39,킹덤 오브 헤븐,8,액션,200년간 지속된 십자군 전쟁이 한창이었던 12세기 예루살렘.운명에 이끌려 십자군 원정이라는 거대한 역사의 소용돌이 중심에 선 ‘발리앙’은위대한 군주로 알려진 이슬람의 지도자 ‘살라딘’에 맞서예루살렘 성안의 백성들을 지켜내야 한다.명장 리들리 스콧 감독의 역작 전세계 최초 개봉
40,노트북,9,드라마,"17살, ‘노아’는 밝고 순수한 ‘앨리’를 보고 첫눈에 반한다. 빠른 속도로 서로에게 빠져드는 둘.그러나 이들 앞에 놓인 장벽에 막혀 이별하게 된다. 24살, ‘앨리’는 우연히 신문에서 ‘노아’의 소식을 접하고 잊을 수 없는 첫사랑 앞에서 다시 한 번 선택의 기로에 서게 되는데… 열일곱의 설렘, 스물넷의 아픈 기억, 그리고 마지막까지… 한 사람을 지극히 사랑했으니 내 인생은 성공한 인생입니다"
41,영웅본색,9,액션,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!"
43,내일의 기억,7,공포/스릴러,"사고로 기억을 잃은 채 깨어난 수진 옆엔자상한 남편 지훈이 그녀를 세심하게 돌봐주고 있다.그리고 집에 돌아온 후,마주친 이웃들의 위험한 미래가 보이기 시작하자 수진은 혼란에 빠진다.그러던 어느 날 길에서 만난 옛 직장 동료는수진을 걱정하며 지훈에 대한 믿기 힘든 소리를 하고,때마침 발견한 사진에서 사진 속 남편 자리엔 지훈이 아닌 다른 남자가 있다.설상가상 수진은 알 수 없는 남자가 자신을 위협하는 환영에 시달리는데……"
46,런,8,공포/스릴러,태어날 때부터 장애 때문에 휠체어를 타고 외딴 집에서 엄마와 함께 살며 일상을 보내는 ‘클로이’. 딸을 사랑으로 돌보는 엄마 덕분에 힘들지만 매일을 긍정적으로 살아간다. 그러던 어느 날 식탁에 놓인 장바구니에서 하나의 물건을 발견하게 되고 믿었던 모든 일상이 흔들리기 시작하는데…
47,도굴,7,액션,"흙 맛만 봐도 보물을 찾아내는 타고난 천재 도굴꾼 강동구(이제훈).자칭 한국의 '인디아나 존스'로 불리는 고분벽화 도굴 전문가 존스 박사(조우진), 전설의 삽질 달인 삽다리(임원희)를 만나 환상(?)의 팀플레이를 자랑하며 위험천만하고도 짜릿한 도굴의 판을 키운다.한편, 그의 재능을 알아본 고미술계 엘리트 큐레이터 윤실장(신혜선)은강동구에게 매력적이면서도 위험한 거래를 제안하는데...!황영사 금동불상, 고구려 고분벽화 그리고 서울 강남 한복판 선릉까지!팔수록 판이 커지는 도굴의 세계!급이 다른 삽질이 시작된다!"
48,테넷,8,액션,시간의 흐름을 뒤집는 인버전을 통해 현재와 미래를 오가며 세상을 파괴하려는 사토르(케네스 브래너)를 막기 위해 투입된 작전의 주도자(존 데이비드 워싱턴). 인버전에 대한 정보를 가진 닐(로버트 패틴슨)과 미술품 감정사이자 사토르에 대한 복수심이 가득한 그의 아내 캣(엘리자베스 데비키)과 협력해 미래의 공격에 맞서 제3차 세계대전을 막아야 한다!
50,하이큐!! 땅 VS 하늘,8,애니메이션,"전국 대회 출전을 향한 치열한 접전 끝에네코마, 후쿠로다니, 노헤비, 이타치야마 고교 배구팀이지역 대표 결정전에 오른다.마지막이 될지도 모르는 결전을 위해각 고교 팀들은 최후의 승부수를 던지는데!승부는 아직 끝나지 않았다!코트를 제패할 팀은 누구인가!더 높이, 더 뜨겁게!불꽃같이 날아올라라!"
51,울지마 톤즈 2 : 슈크란 바바,9,다큐멘터리,"가난과 전쟁으로 아무런 희망조차 없었던 수단 톤즈에서사제이자 의사, 교육자, 음악가, 그리고 건축가로서 이태석 신부가 이룬 기적들과 그 이면의 숨은 이야기들이 공개된다!톤즈에서 행복의 답을 찾은 그의 모습은 보는 이를 설레게 하고,진실하게 자신을 다 바쳐 사랑을 전하는 모습은 보는 이를 뜨거운 감동으로 적신다.아직도 이 땅에 남아 있는 그의 따스한 발자취와그를 기억하는 사람들이 말하는 진짜 이태석을 만나다!"
54,알리타: 배틀 엔젤,8,액션,"모두가 갈망하는 공중도시와 그들을 위해 존재하는 고철도시로 나누어진 26세기.고철 더미 속 모든 기억을 잃은 채 깨어난 알리타는 마음 따뜻한 의사 이도의 보살핌으로 새로운 삶을 시작한다. 이도는 사이보그인 알리타에게 특별한 과거의 비밀과 영혼이 존재한다는 사실을 깨닫고미스터리한 과거로부터 그녀를 지키고자 한다. 한편, 새로운 친구 휴고는 알리타가 위험한 고철도시를 헤쳐나갈 수 있는 방법과 함께 기억을 되찾도록 돕는다.알리타가 자신의 과거에 다가 갈수록 도시를 지배하는 악랄한 세력들이 그녀를 노리며 제거하려고 하고   자신이 착취와 약탈의 고철도시를 구할 수 있는 열쇠임을 깨닫게 된 알리타는사랑하는 가족과 친구, 새로운 세상을 위해 통제된 세상의 무시무시한 적들과 맞서게 되는데…"
55,메이즈 러너: 데스 큐어,7,액션,"미스터리한 조직 ‘위키드’에게 잡힌 ‘민호’(이기홍)를 구하기 위해 ‘토마스’(딜런 오브라이언)와 러너들은 ‘위키드’의 본부가 있는 최후의 도시로 향한다. 인류의 운명이 걸린 ‘위키드’의 위험한 계획을 알게 된 ‘토마스’와 러너들은 마지막 사투를 준비하지만, ‘토마스’는 친구와 인류의 운명 앞에서 딜레마에 빠지게 되는데…"
56,코코,9,액션,뮤지션을 꿈꾸는 소년 미구엘은 전설적인 가수 에르네스토의 기타에 손을 댔다 ‘죽은 자들의 세상’에 들어가게 된다.그리고 그곳에서 만난 의문의 사나이 헥터와 함께 상상조차 못했던 모험을 시작하게 되는데…과연 ‘죽은 자들의 세상’에 숨겨진 비밀은? 그리고 미구엘은 무사히 현실로 돌아올 수 있을까?
59,덩케르크,8,액션,"해변: 보이지 않는 적에게 포위된 채 어디서 총알이 날아올지 모르는 위기의 일주일바다: 군인들의 탈출을 돕기 위해 배를 몰고 덩케르크로 항해하는 하루하늘: 적의 전투기를 공격해 추락시키는 임무, 남은 연료로 비행이 가능한 한 시간“우리는 해변에서 싸울 것이다. 우리는 상륙지에서 싸울 것이다. 우리는 들판에서 싸우고 시가에서도 싸울 것이다. 우리는 끝까지 싸울 것이다”"
60,마리안느와 마가렛,9,다큐멘터리,"2005년 11월 23일, 소록도의 집집마다 편지 한 통이 도착한다.두 간호사가 보낸 마지막 편지였다.＇나이가 들어 제대로 일할 수 없고 헤어지는 아픔을 남길까…＇꽃다운 20대에 아무 연고도 없이 섬을 찾아왔던 이들은 그렇게 떠났다.소록도에서 한센병 환자들을 43년간 보살펴온푸른 눈의 두 천사, 마리안느와 마가렛.들꽃 같은 이들의 아픔을 치유로 바꾼 43년의 사랑을 되새긴다."
